,x,y,theta,speed
9698,313.906,1650.53,0.0,30
9699,314.272,1649.73,0.0,30
9700,314.454,1649.33,0.0,50
9701,314.82099999999997,1648.52,0.0,50
9702,315.004,1648.12,0.0,50
9703,315.372,1647.32,0.0,50
9704,315.557,1646.92,0.0,50
9705,315.742,1646.52,0.0,50
9706,315.927,1646.12,0.0,50
9707,316.297,1645.31,0.0,50
9708,316.483,1644.91,0.0,50
9709,316.668,1644.51,0.0,50
9710,317.04,1643.71,0.0,50
9711,317.226,1643.31,0.0,50
9712,317.413,1642.91,0.0,50
9713,317.601,1642.51,0.0,50
9714,317.975,1641.71,0.0,50
9715,318.16200000000003,1641.31,0.0,50
9716,318.349,1640.91,0.0,50
9717,318.724,1640.11,0.0,50
9718,318.91200000000003,1639.71,0.0,50
9719,319.101,1639.31,0.0,50
9720,319.289,1638.91,0.0,50
9721,319.666,1638.11,0.0,50
9722,319.855,1637.71,0.0,50
9723,320.04400000000004,1637.31,0.0,50
9724,320.422,1636.51,0.0,50
9725,320.612,1636.11,0.0,50
9726,320.801,1635.71,0.0,50
9727,320.99,1635.31,0.0,50
9728,321.37,1634.51,0.0,50
9729,321.56,1634.11,0.0,50
9730,321.748,1633.71,0.0,50
9731,322.127,1632.92,0.0,50
9732,322.317,1632.52,0.0,50
9733,322.7,1631.72,0.0,50
9734,322.89,1631.32,0.0,50
9735,323.082,1630.92,0.0,50
9736,323.464,1630.13,0.0,50
9737,323.657,1629.73,0.0,50
9738,323.848,1629.33,0.0,50
9739,324.041,1628.93,0.0,50
9740,324.425,1628.14,0.0,50
9741,324.619,1627.74,0.0,50
9742,324.812,1627.35,0.0,50
9743,325.006,1626.95,0.0,50
9744,325.394,1626.16,0.0,50
9745,325.58799999999997,1625.76,0.0,50
9746,325.782,1625.36,0.0,50
9747,326.171,1624.57,0.0,50
9748,326.368,1624.17,0.0,50
9749,326.563,1623.78,0.0,50
9750,326.759,1623.38,0.0,50
9751,327.151,1622.59,0.0,50
9752,327.348,1622.19,0.0,50
9753,327.54400000000004,1621.8,0.0,50
9754,327.741,1621.4,0.0,50
9755,328.13599999999997,1620.61,0.0,50
9756,328.334,1620.21,0.0,50
9757,328.531,1619.82,0.0,50
9758,328.92800000000005,1619.03,0.0,50
9759,329.125,1618.63,0.0,50
9760,329.324,1618.24,0.0,50
9761,329.722,1617.45,0.0,50
9762,329.92199999999997,1617.05,0.0,50
9763,330.32,1616.27,0.0,50
9764,330.52,1615.87,0.0,50
9765,330.719,1615.48,0.0,50
9766,330.92,1615.09,0.0,50
9767,331.319,1614.3,0.0,50
9768,331.52,1613.91,0.0,50
9769,331.722,1613.51,0.0,50
9770,331.923,1613.12,0.0,50
9771,332.325,1612.33,0.0,50
9772,332.527,1611.94,0.0,50
9773,332.73,1611.55,0.0,50
9774,333.134,1610.76,0.0,50
9775,333.335,1610.37,0.0,50
9776,333.537,1609.98,0.0,50
9777,333.944,1609.19,0.0,50
9778,334.147,1608.8,0.0,50
9779,334.35,1608.4,0.0,50
9780,334.55300000000005,1608.01,0.0,50
9781,334.96,1607.23,0.0,50
9782,335.163,1606.84,0.0,50
9783,335.366,1606.45,0.0,50
9784,335.57099999999997,1606.05,0.0,50
9785,335.978,1605.27,0.0,50
9786,336.18199999999996,1604.88,0.0,50
9787,336.38599999999997,1604.49,0.0,50
9788,336.79400000000004,1603.7,0.0,50
9789,336.99800000000005,1603.31,0.0,50
9790,337.202,1602.92,0.0,50
9791,337.611,1602.13,0.0,50
9792,337.814,1601.74,0.0,50
9793,338.222,1600.96,0.0,50
9794,338.426,1600.57,0.0,50
9795,338.631,1600.18,0.0,50
9796,339.039,1599.39,0.0,50
9797,339.245,1599.0,0.0,50
9798,339.449,1598.61,0.0,50
9799,339.654,1598.22,0.0,50
9800,340.06300000000005,1597.43,0.0,30
9801,340.269,1597.04,0.0,30
9802,340.473,1596.65,0.0,30
